"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a todo can be marked as completed, updating its visual state.","1536","should mark a todo as completed","iPhone 15 Pro Max","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","817","should clear all completed todos","Desktop Firefox","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","465","should toggle all todos at once","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","688","should persist filter state on page reload","Galaxy S9+","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","6723","should show only active todos on the Active filter","iPhone 15","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","1851","should add a single todo item","iPhone SE","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","622","should persist filter state on page reload","Desktop Chrome","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","851","should show all todos on the All filter","Desktop Firefox","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","2674","should add a single todo item","Desktop Firefox","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","908","should show only completed todos on the Completed filter","Desktop Firefox","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","845","should trim whitespace from new todo items","iPhone SE","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","516","should mark a todo as completed","Galaxy S9+","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","1917","should toggle all todos at once","iPhone 15 Pro Max","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","600","should show only active todos on the Active filter","Pixel 7","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","1888","should add a single todo item","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1460","should persist filter state on page reload","iPad Mini","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","624","should mark a todo as completed","Desktop Edge","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","699","should show only active todos on the Active filter","Desktop Edge","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","793","should mark a todo as completed","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","625","should show only completed todos on the Completed filter","Galaxy Tab S4","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","305","should not add an empty todo item","Pixel 7","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","675","should not add an empty todo item","Desktop Firefox","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","2260","should not add an empty todo item","Desktop Safari","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","646","should show only completed todos on the Completed filter","Galaxy S9+","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1648","should show only completed todos on the Completed filter","iPad Pro 11","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1771","should persist filter state on page reload","iPad Pro 11","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","5353","should show only active todos on the Active filter","Desktop Safari","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","5320","should add a single todo item","iPad Pro 11","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","3130","should edit an existing todo item","Desktop Firefox","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","639","should show only completed todos on the Completed filter","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","808","should add a single todo item","iPad Mini","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","4681","should add multiple todo items","Desktop Safari","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","586","should show only active todos on the Active filter","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","743","should add multiple todo items","Galaxy S9+","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","432","should mark a todo as completed","Desktop Chrome","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","728","should not add an empty todo item","iPhone SE","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","591","should add multiple todo items","Galaxy Tab S4","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","653","should show only active todos on the Active filter","Galaxy Tab S4","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","1923","should add multiple todo items","iPhone 15","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","674","should delete a todo item","Desktop Edge","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","352","should trim whitespace from new todo items","Pixel 7","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1245","should persist filter state on page reload","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","1205","should show only completed todos on the Completed filter","iPhone SE","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","412","should not add an empty todo item","Galaxy Tab S4","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","1675","should show only active todos on the Active filter","iPad Mini","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1500","should mark a todo as completed","iPhone 15","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","598","should clear all completed todos","Desktop Edge","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","954","should clear all completed todos","iPhone 15","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","493","should delete a todo item","Pixel 7","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","1000","should toggle all todos at once","iPhone 15","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","491","should add multiple todo items","Pixel 7","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","378","should not add an empty todo item","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","1403","should toggle all todos at once","Desktop Safari","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","866","should show all todos on the All filter","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","2269","should trim whitespace from new todo items","iPad Pro 11","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","448","should show all todos on the All filter","Desktop Chrome","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","729","should mark a todo as completed","Desktop Firefox","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1927","should persist filter state on page reload","Desktop Safari","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","3621","should add a single todo item","Desktop Edge","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","575","should clear all completed todos","Galaxy Tab S4","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","498","should add a single todo item","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","1328","should toggle all todos at once","iPad Mini","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1253","should edit an existing todo item","iPad Pro 11","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","1980","should add multiple todo items","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","670","should add a single todo item","Galaxy S9+","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
